Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2020,"Alaska Judicial Retirement System","Alaska",6.26%,83.08%,49.13%,40.21%,89.34%
2021,"Alaska Judicial Retirement System","Alaska",6.01%,86.89%,45.97%,46.92%,92.90%
2022,"Alaska Judicial Retirement System","Alaska",6.06%,76.09%,41.13%,41.02%,82.15%
2023,"Alaska Judicial Retirement System","Alaska",6.18%,73.25%,35.71%,43.72%,79.43%
2014,"Alaska Public Employees Retirement System","Alaska",7.58%,27.26%,11.45%,23.39%,34.84%
2015,"Alaska Public Employees Retirement System","Alaska",7.08%,86.82%,13.08%,80.83%,93.91%
2016,"Alaska Public Employees Retirement System","Alaska",7.26%,24.49%,13.02%,18.72%,31.75%
2017,"Alaska Public Employees Retirement System","Alaska",7.16%,29.07%,14.78%,21.45%,36.23%
2018,"Alaska Public Employees Retirement System","Alaska",7.33%,32.11%,14.73%,24.71%,39.44%
2019,"Alaska Public Employees Retirement System","Alaska",7.59%,39.89%,15.03%,32.44%,47.47%
2020,"Alaska Public Employees Retirement System","Alaska",7.42%,42.76%,14.09%,36.09%,50.18%
2021,"Alaska Public Employees Retirement System","Alaska",7.90%,57.74%,14.61%,51.03%,65.64%
2022,"Alaska Public Employees Retirement System","Alaska",7.99%,61.73%,14.36%,55.36%,69.72%
2023,"Alaska Public Employees Retirement System","Alaska",9.83%,57.99%,14.27%,53.54%,67.81%
2014,"Alaska Teachers Retirement System","Alaska",9.28%,47.95%,12.51%,44.72%,57.23%
2016,"Alaska Teachers Retirement System","Alaska",9.00%,26.19%,12.88%,22.31%,35.19%
2017,"Alaska Teachers Retirement System","Alaska",8.87%,34.10%,15.21%,27.76%,42.97%
2018,"Alaska Teachers Retirement System","Alaska",8.85%,35.60%,15.25%,29.19%,44.45%
2019,"Alaska Teachers Retirement System","Alaska",9.11%,41.82%,15.49%,35.44%,50.92%
2020,"Alaska Teachers Retirement System","Alaska",9.17%,47.63%,13.84%,42.96%,56.80%
2021,"Alaska Teachers Retirement System","Alaska",9.33%,45.74%,13.55%,41.52%,55.07%
2022,"Alaska Teachers Retirement System","Alaska",8.99%,51.66%,13.40%,47.26%,60.66%
2023,"Alaska Teachers Retirement System","Alaska",10.32%,45.77%,14.27%,41.82%,56.09%
2014,"Arizona Corrections Officers Retirement Plan","Arizona",8.35%,12.44%,15.00%,5.79%,20.79%
2015,"Arizona Corrections Officers Retirement Plan","Arizona",8.59%,13.40%,15.00%,6.99%,21.99%
2016,"Arizona Corrections Officers Retirement Plan","Arizona",8.70%,18.57%,16.00%,11.27%,27.27%
2017,"Arizona Corrections Officers Retirement Plan","Arizona",8.55%,18.57%,16.00%,11.12%,27.12%
2018,"Arizona Corrections Officers Retirement Plan","Arizona",8.37%,20.28%,16.00%,12.65%,28.65%
2019,"Arizona Corrections Officers Retirement Plan","Arizona",8.90%,32.23%,15.00%,26.13%,41.13%
2020,"Arizona Corrections Officers Retirement Plan","Arizona",8.75%,31.35%,14.00%,26.09%,40.09%
2023,"Arizona Corrections Officers Retirement Plan","Arizona",8.10%,52.00%,12.05%,48.05%,60.10%
2014,"Arizona Elected Officials Retirement Plan","Arizona",13.15%,43.67%,34.39%,22.44%,56.82%
2015,"Arizona Elected Officials Retirement Plan","Arizona",14.72%,47.35%,37.95%,24.12%,62.06%
2016,"Arizona Elected Officials Retirement Plan","Arizona",13.55%,50.58%,42.55%,21.57%,64.12%
2017,"Arizona Elected Officials Retirement Plan","Arizona",15.99%,57.18%,56.32%,16.85%,73.17%
2018,"Arizona Elected Officials Retirement Plan","Arizona",9.97%,30.66%,63.33%,−22.69%,40.63%
2019,"Arizona Elected Officials Retirement Plan","Arizona",8.92%,121.18%,30.48%,99.63%,130.10%
2020,"Arizona Elected Officials Retirement Plan","Arizona",10.25%,130.47%,29.78%,110.95%,140.72%
2014,"Arizona Public Safety Personnel Retirement System","Arizona",10.93%,29.77%,20.05%,20.65%,40.70%
2015,"Arizona Public Safety Personnel Retirement System","Arizona",11.40%,30.99%,19.89%,22.50%,42.39%
2016,"Arizona Public Safety Personnel Retirement System","Arizona",13.25%,37.56%,23.81%,27.01%,50.82%
2017,"Arizona Public Safety Personnel Retirement System","Arizona",11.76%,41.88%,22.34%,31.30%,53.64%
2018,"Arizona Public Safety Personnel Retirement System","Arizona",8.82%,38.81%,22.24%,25.39%,47.63%
2019,"Arizona Public Safety Personnel Retirement System","Arizona",7.73%,51.10%,22.05%,36.78%,58.84%
2020,"Arizona Public Safety Personnel Retirement System","Arizona",8.28%,55.24%,21.25%,42.26%,63.51%
2021,"Arizona Public Safety Personnel Retirement System","Arizona",8.24%,108.50%,21.12%,95.63%,116.75%
2023,"Arizona Public Safety Personnel Retirement System","Arizona",8.49%,67.35%,22.10%,53.75%,75.85%
2014,"Arizona State Retirement System","Arizona",11.37%,11.04%,11.04%,11.36%,22.41%
2015,"Arizona State Retirement System","Arizona",11.18%,10.89%,10.99%,11.09%,22.07%
2016,"Arizona State Retirement System","Arizona",11.36%,11.13%,12.54%,9.95%,22.49%
2017,"Arizona State Retirement System","Arizona",11.34%,11.06%,11.95%,10.46%,22.40%
2018,"Arizona State Retirement System","Arizona",11.34%,11.19%,14.03%,8.50%,22.53%
2019,"Arizona State Retirement System","Arizona",11.63%,11.50%,13.21%,9.93%,23.14%
2020,"Arizona State Retirement System","Arizona",11.93%,11.77%,13.10%,10.59%,23.70%
2021,"Arizona State Retirement System","Arizona",12.04%,11.94%,13.22%,10.76%,23.98%
2022,"Arizona State Retirement System","Arizona",12.22%,12.31%,13.22%,11.31%,24.53%
2023,"Arizona State Retirement System","Arizona",12.04%,12.21%,12.46%,11.79%,24.25%
2014,"Arkansas Judicial Retirement Plan","Arkansas",4.68%,30.92%,26.89%,8.71%,35.60%
2015,"Arkansas Judicial Retirement Plan","Arkansas",4.24%,25.51%,23.95%,5.80%,29.75%
2016,"Arkansas Judicial Retirement Plan","Arkansas",4.53%,24.93%,32.41%,−2.95%,29.46%
2017,"Arkansas Judicial Retirement Plan","Arkansas",4.44%,37.03%,31.51%,9.95%,41.46%
2018,"Arkansas Judicial Retirement Plan","Arkansas",4.34%,35.93%,29.56%,10.71%,40.27%
2019,"Arkansas Judicial Retirement Plan","Arkansas",4.19%,34.89%,29.32%,9.76%,39.07%
2020,"Arkansas Judicial Retirement Plan","Arkansas",4.63%,34.87%,28.86%,10.64%,39.50%
2021,"Arkansas Judicial Retirement Plan","Arkansas",4.38%,32.22%,28.25%,8.36%,36.61%
2022,"Arkansas Judicial Retirement Plan","Arkansas",4.95%,34.13%,30.67%,8.42%,39.09%
2023,"Arkansas Judicial Retirement Plan","Arkansas",4.61%,29.90%,29.43%,5.08%,34.50%
2014,"Arkansas Local Police and Fire Retirement System","Arkansas",7.10%,20.80%,16.62%,11.28%,27.90%
2015,"Arkansas Local Police and Fire Retirement System","Arkansas",6.61%,21.11%,15.75%,11.98%,27.72%
2016,"Arkansas Local Police and Fire Retirement System","Arkansas",6.62%,22.87%,15.91%,13.59%,29.50%
2017,"Arkansas Local Police and Fire Retirement System","Arkansas",6.89%,22.84%,15.63%,14.10%,29.73%
2018,"Arkansas Local Police and Fire Retirement System","Arkansas",6.87%,23.57%,17.14%,13.30%,30.44%
2019,"Arkansas Local Police and Fire Retirement System","Arkansas",6.77%,23.87%,16.07%,14.58%,30.64%
2020,"Arkansas Local Police and Fire Retirement System","Arkansas",6.87%,24.30%,16.14%,15.03%,31.17%
2021,"Arkansas Local Police and Fire Retirement System","Arkansas",6.60%,24.94%,16.20%,15.35%,31.54%
2022,"Arkansas Local Police and Fire Retirement System","Arkansas",6.63%,24.69%,15.35%,15.97%,31.32%
2023,"Arkansas Local Police and Fire Retirement System","Arkansas",7.23%,25.22%,14.30%,18.15%,32.45%
2014,"Arkansas Public Employees Retirement System","Arkansas",2.70%,15.03%,9.18%,8.54%,17.73%
2015,"Arkansas Public Employees Retirement System","Arkansas",2.89%,14.99%,9.61%,8.27%,17.88%
2016,"Arkansas Public Employees Retirement System","Arkansas",3.06%,14.72%,9.42%,8.36%,17.78%
2017,"Arkansas Public Employees Retirement System","Arkansas",3.23%,14.62%,9.77%,8.07%,17.84%
2018,"Arkansas Public Employees Retirement System","Arkansas",3.43%,14.94%,9.82%,8.55%,18.37%
2019,"Arkansas Public Employees Retirement System","Arkansas",3.47%,15.13%,9.79%,8.81%,18.60%
2020,"Arkansas Public Employees Retirement System","Arkansas",3.68%,15.49%,10.28%,8.89%,19.17%
2021,"Arkansas Public Employees Retirement System","Arkansas",3.90%,16.04%,10.49%,9.44%,19.93%
2022,"Arkansas Public Employees Retirement System","Arkansas",3.91%,15.59%,10.02%,9.48%,19.50%
2023,"Arkansas Public Employees Retirement System","Arkansas",4.10%,15.08%,9.98%,9.20%,19.18%
2014,"Arkansas State Highway Employees Retirement System","Arkansas",6.47%,13.56%,12.29%,7.75%,20.03%
2015,"Arkansas State Highway Employees Retirement System","Arkansas",6.50%,13.56%,13.10%,6.96%,20.06%
2016,"Arkansas State Highway Employees Retirement System","Arkansas",6.61%,13.55%,13.34%,6.82%,20.16%
2017,"Arkansas State Highway Employees Retirement System","Arkansas",6.48%,13.58%,30.33%,−10.27%,20.06%
2018,"Arkansas State Highway Employees Retirement System","Arkansas",6.17%,12.99%,15.89%,3.27%,19.16%
2019,"Arkansas State Highway Employees Retirement System","Arkansas",6.32%,13.16%,13.45%,6.03%,19.48%
2020,"Arkansas State Highway Employees Retirement System","Arkansas",6.84%,15.47%,13.05%,9.27%,22.32%
2021,"Arkansas State Highway Employees Retirement System","Arkansas",7.16%,15.10%,13.11%,9.15%,22.26%
2022,"Arkansas State Highway Employees Retirement System","Arkansas",6.35%,14.90%,10.31%,10.94%,21.25%
2023,"Arkansas State Highway Employees Retirement System","Arkansas",6.36%,14.90%,9.87%,11.39%,21.26%
2014,"Arkansas State Police Retirement System","Arkansas",0.00%,68.31%,17.05%,51.26%,68.31%
2015,"Arkansas State Police Retirement System","Arkansas",0.32%,66.10%,20.39%,46.03%,66.42%
2016,"Arkansas State Police Retirement System","Arkansas",0.00%,66.94%,18.64%,48.30%,66.94%
2017,"Arkansas State Police Retirement System","Arkansas",0.00%,68.65%,18.82%,49.82%,68.65%
2018,"Arkansas State Police Retirement System","Arkansas",0.00%,70.97%,22.23%,48.75%,70.97%
2019,"Arkansas State Police Retirement System","Arkansas",0.00%,70.17%,22.09%,48.08%,70.17%
2020,"Arkansas State Police Retirement System","Arkansas",0.00%,65.66%,17.60%,48.07%,65.66%
2021,"Arkansas State Police Retirement System","Arkansas",0.00%,67.84%,19.46%,48.37%,67.84%
2022,"Arkansas State Police Retirement System","Arkansas",0.00%,69.28%,21.96%,47.32%,69.28%
2023,"Arkansas State Police Retirement System","Arkansas",0.00%,63.61%,18.98%,44.64%,63.61%
2014,"Arkansas Teachers Retirement Plan","Arkansas",4.39%,14.20%,11.47%,7.13%,18.60%
2015,"Arkansas Teachers Retirement Plan","Arkansas",4.47%,14.21%,10.37%,8.30%,18.68%
2016,"Arkansas Teachers Retirement Plan","Arkansas",4.54%,14.21%,10.56%,8.18%,18.75%
2017,"Arkansas Teachers Retirement Plan","Arkansas",4.56%,14.20%,10.53%,8.22%,18.76%
2018,"Arkansas Teachers Retirement Plan","Arkansas",4.65%,14.22%,10.58%,8.28%,18.86%
2019,"Arkansas Teachers Retirement Plan","Arkansas",4.69%,14.23%,10.75%,8.17%,18.92%
2020,"Arkansas Teachers Retirement Plan","Arkansas",4.97%,14.50%,10.76%,8.72%,19.47%
2021,"Arkansas Teachers Retirement Plan","Arkansas",5.25%,14.75%,10.62%,9.37%,19.99%
2022,"Arkansas Teachers Retirement Plan","Arkansas",5.52%,15.10%,11.42%,9.20%,20.63%
2023,"Arkansas Teachers Retirement Plan","Arkansas",5.74%,15.37%,11.33%,9.78%,21.11%
2014,"Atlanta General Employees' Pension Fund","Georgia",13.28%,63.26%,15.62%,60.92%,76.54%
2015,"Atlanta General Employees' Pension Fund","Georgia",11.14%,57.88%,13.80%,55.22%,69.03%
2016,"Atlanta General Employees' Pension Fund","Georgia",12.14%,60.95%,14.08%,59.01%,73.09%
2017,"Atlanta General Employees' Pension Fund","Georgia",10.63%,30.06%,11.21%,29.47%,40.69%
2018,"Atlanta General Employees' Pension Fund","Georgia",9.53%,28.11%,11.09%,26.55%,37.64%
2019,"Atlanta General Employees' Pension Fund","Georgia",10.29%,25.85%,9.39%,26.76%,36.14%
2020,"Atlanta General Employees' Pension Fund","Georgia",10.75%,53.34%,9.87%,54.21%,64.08%
2021,"Atlanta General Employees' Pension Fund","Georgia",10.05%,51.30%,9.57%,51.77%,61.35%
2022,"Atlanta General Employees' Pension Fund","Georgia",11.05%,60.43%,11.12%,60.36%,71.48%
2014,"Atlanta Police Officers' Pension Fund","Georgia",12.23%,32.88%,22.43%,22.68%,45.11%
2015,"Atlanta Police Officers' Pension Fund","Georgia",11.96%,34.84%,21.81%,24.99%,46.80%
2016,"Atlanta Police Officers' Pension Fund","Georgia",12.72%,27.37%,23.21%,16.88%,40.09%
2017,"Atlanta Police Officers' Pension Fund","Georgia",10.34%,26.24%,23.75%,12.82%,36.57%
2018,"Atlanta Police Officers' Pension Fund","Georgia",11.61%,37.58%,23.34%,25.84%,49.18%
2019,"Atlanta Police Officers' Pension Fund","Georgia",12.70%,35.18%,22.35%,25.54%,47.88%
2020,"Atlanta Police Officers' Pension Fund","Georgia",12.79%,22.72%,22.42%,13.09%,35.51%
2021,"Atlanta Police Officers' Pension Fund","Georgia",12.05%,34.84%,26.32%,20.58%,46.89%
2022,"Atlanta Police Officers' Pension Fund","Georgia",12.58%,40.25%,22.32%,30.51%,52.83%
2014,"Baltimore City Employees' Retirement System","Maryland",9.43%,20.05%,15.10%,14.38%,29.48%
2015,"Baltimore City Employees' Retirement System","Maryland",9.73%,26.51%,21.72%,14.52%,36.25%
2016,"Baltimore City Employees' Retirement System","Maryland",10.22%,26.47%,23.56%,13.13%,36.69%
2017,"Baltimore City Employees' Retirement System","Maryland",11.06%,30.21%,26.55%,14.72%,41.27%
2018,"Baltimore City Employees' Retirement System","Maryland",11.33%,31.95%,27.28%,15.99%,43.27%
2019,"Baltimore City Employees' Retirement System","Maryland",11.48%,32.93%,22.65%,21.76%,44.41%
2020,"Baltimore City Employees' Retirement System","Maryland",11.71%,33.07%,20.66%,24.12%,44.78%
2021,"Baltimore City Employees' Retirement System","Maryland",11.49%,33.37%,20.47%,24.39%,44.86%
2022,"Baltimore City Employees' Retirement System","Maryland",11.84%,36.55%,20.94%,27.45%,48.39%
2023,"Baltimore City Employees' Retirement System","Maryland",8.59%,32.65%,14.98%,26.26%,41.24%
2014,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.95%,40.06%,23.23%,26.77%,50.00%
2015,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.37%,36.77%,20.60%,25.55%,46.15%
2016,"Baltimore Fire and Police Employees' Retirement System","Maryland",10.15%,40.26%,23.67%,26.74%,50.41%
2017,"Baltimore Fire and Police Employees' Retirement System","Maryland",10.09%,43.76%,23.95%,29.90%,53.85%
2018,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.68%,42.60%,21.72%,30.55%,52.27%
2019,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.53%,43.84%,21.49%,31.87%,53.36%
2020,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.60%,44.94%,21.11%,33.42%,54.54%
2021,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.58%,45.70%,21.50%,33.77%,55.28%
2022,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.66%,50.74%,22.97%,37.44%,60.40%
2023,"Baltimore Fire and Police Employees' Retirement System","Maryland",9.82%,48.56%,23.55%,34.83%,58.38%
2014,"Baton Rouge City Parish Employees' Retirement System","Louisiana",11.00%,29.04%,17.10%,22.94%,40.04%
2015,"Baton Rouge City Parish Employees' Retirement System","Louisiana",11.11%,30.53%,15.92%,25.72%,41.64%
2016,"Baton Rouge City Parish Employees' Retirement System","Louisiana",11.13%,31.58%,15.89%,26.82%,42.71%
2017,"Baton Rouge City Parish Employees' Retirement System","Louisiana",10.65%,30.96%,15.35%,26.26%,41.61%
2018,"Baton Rouge City Parish Employees' Retirement System","Louisiana",11.29%,35.69%,15.15%,31.83%,46.98%
2019,"Baton Rouge City Parish Employees' Retirement System","Louisiana",11.07%,32.71%,15.08%,28.70%,43.78%
2020,"Baton Rouge City Parish Employees' Retirement System","Louisiana",10.67%,34.86%,14.91%,30.62%,45.53%
2021,"Baton Rouge City Parish Employees' Retirement System","Louisiana",10.28%,36.13%,15.11%,31.30%,46.41%
2022,"Baton Rouge City Parish Employees' Retirement System","Louisiana",10.53%,36.68%,14.95%,32.27%,47.22%
2014,"Birmingham Retirement & Relief System","Alabama",6.26%,7.34%,18.54%,−4.94%,13.60%
2015,"Birmingham Retirement & Relief System","Alabama",6.50%,7.69%,19.64%,−5.45%,14.19%
2016,"Birmingham Retirement & Relief System","Alabama",7.00%,8.28%,21.93%,−6.66%,15.28%
2017,"Birmingham Retirement & Relief System","Alabama",7.00%,8.26%,30.53%,−15.27%,15.26%
2018,"Birmingham Retirement & Relief System","Alabama",7.00%,8.55%,20.89%,−5.34%,15.55%
2019,"Birmingham Retirement & Relief System","Alabama",7.18%,10.16%,21.86%,−4.53%,17.33%
2020,"Birmingham Retirement & Relief System","Alabama",7.01%,14.21%,22.08%,−0.86%,21.22%
2021,"Birmingham Retirement & Relief System","Alabama",7.01%,17.92%,24.38%,0.55%,24.93%
2022,"Birmingham Retirement & Relief System","Alabama",7.51%,21.98%,24.62%,4.87%,29.49%
2014,"Bismarck City Employees' Pension Plan","North Dakota",4.85%,9.98%,10.00%,4.83%,14.83%
2015,"Bismarck City Employees' Pension Plan","North Dakota",4.75%,9.05%,10.20%,3.60%,13.80%
2016,"Bismarck City Employees' Pension Plan","North Dakota",5.46%,10.71%,10.30%,5.87%,16.17%
2017,"Bismarck City Employees' Pension Plan","North Dakota",5.51%,11.79%,11.10%,6.20%,17.30%
2018,"Bismarck City Employees' Pension Plan","North Dakota",5.67%,12.15%,11.30%,6.52%,17.82%
2019,"Bismarck City Employees' Pension Plan","North Dakota",5.54%,11.92%,11.40%,6.06%,17.46%
2020,"Bismarck City Employees' Pension Plan","North Dakota",5.71%,12.36%,10.20%,7.87%,18.07%
2021,"Bismarck City Employees' Pension Plan","North Dakota",5.70%,12.15%,10.10%,7.75%,17.85%
2022,"Bismarck City Employees' Pension Plan","North Dakota",5.23%,11.17%,10.70%,5.71%,16.41%
2023,"Bismarck City Employees' Pension Plan","North Dakota",5.05%,10.32%,9.56%,5.81%,15.37%
2014,"Boston Retirement System","Massachusetts",9.93%,21.97%,12.80%,19.10%,31.90%
2015,"Boston Retirement System","Massachusetts",9.85%,22.71%,13.05%,19.50%,32.55%
2016,"Boston Retirement System","Massachusetts",10.27%,25.37%,13.36%,22.28%,35.64%
2017,"Boston Retirement System","Massachusetts",10.01%,25.30%,13.24%,22.07%,35.31%
2018,"Boston Retirement System","Massachusetts",10.47%,27.25%,13.96%,23.76%,37.72%
2019,"Boston Retirement System","Massachusetts",10.58%,29.28%,13.97%,25.89%,39.86%
2020,"Boston Retirement System","Massachusetts",10.79%,29.86%,15.35%,25.30%,40.65%
2021,"Boston Retirement System","Massachusetts",10.14%,31.01%,15.40%,25.75%,41.15%
2022,"Boston Retirement System","Massachusetts",10.14%,32.56%,15.74%,26.96%,42.70%
2023,"Boston Retirement System","Massachusetts",11.00%,36.73%,15.84%,31.89%,47.74%
2014,"Burlington Employees Retirement System","Vermont",4.49%,24.15%,10.99%,17.65%,28.64%
2015,"Burlington Employees Retirement System","Vermont",4.84%,19.75%,11.24%,13.35%,24.59%
2016,"Burlington Employees Retirement System","Vermont",4.79%,19.02%,11.07%,12.74%,23.81%
2017,"Burlington Employees Retirement System","Vermont",5.94%,20.20%,13.01%,13.13%,26.14%
2018,"Burlington Employees Retirement System","Vermont",7.40%,18.72%,13.61%,12.50%,26.11%
2019,"Burlington Employees Retirement System","Vermont",7.19%,18.85%,12.63%,13.42%,26.04%
2020,"Burlington Employees Retirement System","Vermont",6.82%,19.17%,12.85%,13.14%,25.99%
2021,"Burlington Employees Retirement System","Vermont",6.76%,19.64%,12.81%,13.59%,26.40%
2022,"Burlington Employees Retirement System","Vermont",7.39%,20.35%,12.93%,14.81%,27.74%
2014,"California Public Employees Retirement Fund","California",8.40%,19.52%,19.54%,8.38%,27.92%
2015,"California Public Employees Retirement Fund","California",8.04%,21.77%,18.51%,11.30%,29.81%
2016,"California Public Employees Retirement Fund","California",8.42%,22.84%,18.40%,12.86%,31.26%
2017,"California Public Employees Retirement Fund","California",8.60%,25.16%,19.01%,14.75%,33.76%
2018,"California Public Employees Retirement Fund","California",8.77%,39.55%,19.66%,28.67%,48.32%
2019,"California Public Employees Retirement Fund","California",9.02%,30.18%,19.54%,19.65%,39.19%
2020,"California Public Employees Retirement Fund","California",9.22%,43.16%,19.33%,33.05%,52.38%
2021,"California Public Employees Retirement Fund","California",8.71%,36.68%,20.29%,25.10%,45.39%
2022,"California Public Employees Retirement Fund","California",9.19%,40.45%,20.06%,29.58%,49.64%
2023,"California Public Employees Retirement Fund","California",9.84%,42.01%,20.06%,31.78%,51.85%
2014,"California State Teachers Retirement System","California",8.24%,13.30%,19.42%,2.11%,21.53%
2015,"California State Teachers Retirement System","California",7.84%,12.81%,17.35%,3.30%,20.65%
2016,"California State Teachers Retirement System","California",9.27%,16.71%,18.41%,7.57%,25.97%
2017,"California State Teachers Retirement System","California",10.08%,19.49%,17.77%,11.80%,29.57%
2018,"California State Teachers Retirement System","California",10.06%,22.05%,20.55%,11.56%,32.11%
2019,"California State Teachers Retirement System","California",10.19%,30.66%,19.70%,21.15%,40.85%
2020,"California State Teachers Retirement System","California",10.19%,28.71%,20.02%,18.88%,38.89%
2021,"California State Teachers Retirement System","California",10.19%,25.83%,20.72%,15.30%,36.02%
2022,"California State Teachers Retirement System","California",10.14%,26.93%,19.14%,17.94%,37.08%
2023,"California State Teachers Retirement System","California",10.12%,26.95%,19.21%,17.85%,37.06%
2014,"Charleston Policemen's Pension and Relief Fund (PPRF)","West Virginia",7.86%,78.10%,38.86%,47.09%,85.95%
2015,"Charleston Policemen's Pension and Relief Fund (PPRF)","West Virginia",7.54%,83.18%,41.95%,48.78%,90.73%
2016,"Charleston Policemen's Pension and Relief Fund (PPRF)","West Virginia",7.74%,95.34%,46.05%,57.02%,103.08%
2017,"Charleston Policemen's Pension and Relief Fund (PPRF)","West Virginia",8.36%,109.04%,63.19%,54.22%,117.41%
2018,"Charleston Policemen's Pension and Relief Fund (PPRF)","West Virginia",7.72%,108.44%,55.34%,60.81%,116.16%
